,year,category,nominee,artist,workers,winner
137,2019,Best Country Solo Performance,Ride Me Back Home,Willie Nelson,,True
138,2019,Best Country Solo Performance,All Your’n,Tyler Childers,,False
139,2019,Best Country Solo Performance,Girl Goin' Nowhere,Ashley McBryde,,False
140,2019,Best Country Solo Performance,God's Country,Blake Shelton,,False
141,2019,Best Country Solo Performance,Bring My Flowers Now,Tanya Tucker,,False
142,2019,Best Country Duo/Group Performance,Speechless,Dan + Shay,,True
143,2019,Best Country Duo/Group Performance,Brand New Man,Brooks & Dunn With Luke Combs,,False
144,2019,Best Country Duo/Group Performance,I Don't Remember Me (Before You),Brothers Osborne,,False
145,2019,Best Country Duo/Group Performance,The Daughters,Little Big Town,,False
146,2019,Best Country Duo/Group Performance,Common,Maren Morris Featuring Brandi Carlile,,False
147,2019,Best Country Song,Bring My Flowers Now,,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",True
148,2019,Best Country Song,Girl Goin' Nowhere,,"Jeremy Bussey & Ashley McBryde, songwriters (Ashley McBryde)",False
149,2019,Best Country Song,It All Comes Out In The Wash,,"Miranda Lambert, Hillary Lindsey, Lori McKenna & Liz Rose, songwriters (Miranda Lambert)",False
150,2019,Best Country Song,Some Of It,,"Eric Church, Clint Daniels, Jeff Hyde & Bobby Pinson, songwriters (Eric Church)",False
151,2019,Best Country Song,Speechless,,"Shay Mooney, Jordan Reynolds, Dan Smyers & Laura Veltz, songwriters (Dan + Shay)",False
152,2019,Best Country Album,While I'm Livin',Tanya Tucker,,True
153,2019,Best Country Album,Desperate Man,Eric Church,,False
154,2019,Best Country Album,Stronger Than The Truth,Reba McEntire,,False
155,2019,Best Country Album,Interstate Gospel,Pistol Annies,,False
156,2019,Best Country Album,Center Point Road,Thomas Rhett,,False
157,2019,Best New Age Album,Wings,Peter Kater,,True
158,2019,Best New Age Album,Fairy Dreams,David Arkenstone,,False
159,2019,Best New Age Album,Homage To Kindness,David Darling,,False
160,2019,Best New Age Album,Verve,Sebastian Plano,,False
161,2019,Best New Age Album,Deva,Deva Premal,,False
162,2019,Best Improvised Jazz Solo,Sozinho,,"Randy Brecker, soloist",True
163,2019,Best Improvised Jazz Solo,Elsewhere,,"Melissa Aldana, soloist",False
164,2019,Best Improvised Jazz Solo,Tomorrow Is The Question,,"Julian Lage, soloist",False
165,2019,Best Improvised Jazz Solo,The Windup,,"Branford Marsalis, soloist",False
166,2019,Best Improvised Jazz Solo,Sightseeing,,"Christian McBride, soloist",False
167,2019,Best Jazz Vocal Album,12 Little Spells,Esperanza Spalding,,True
